Step Time Temp
0.0 0.0 300.0 
1.0 0.1 299.9365 
2.0 0.2 299.7462 
3.0 0.3 299.43013 
4.0 0.4 298.99001 
5.0 0.5 298.42827 
6.0 0.6 297.74803 
7.0 0.7 296.9531 
8.0 0.8 296.04796 
9.0 0.9 295.03772 
10.0 1.0 293.92814 
11.0 1.1 292.72559 
12.0 1.2 291.43704 
13.0 1.3 290.07001 
14.0 1.4 288.63257 
15.0 1.5 287.13326 
16.0 1.6 285.58114 
17.0 1.7 283.98567 
18.0 1.8 282.35673 
19.0 1.9 280.70454 
20.0 2.0 279.03966 
21.0 2.1 277.37291 
22.0 2.2 275.71533 
23.0 2.3 274.07819 
24.0 2.4 272.47285 
25.0 2.5 270.91072 
26.0 2.6 269.40319 
27.0 2.7 267.96161 
28.0 2.8 266.59745 
29.0 2.9 265.32211 
30.0 3.0 264.14714 
31.0 3.1 263.08404 
32.0 3.2 262.14379 
33.0 3.3 261.33734 
34.0 3.4 260.67551 
35.0 3.5 260.16875 
36.0 3.6 259.82718 
37.0 3.7 259.66073 
38.0 3.8 259.67893 
39.0 3.9 259.89105 
40.0 4.0 260.30597 
41.0 4.1 260.93227 
42.0 4.2 261.77818 
43.0 4.3 262.85161 
44.0 4.4 264.16011 
45.0 4.5 265.71096 
46.0 4.6 267.51107 
47.0 4.7 269.56707 
48.0 4.8 271.88529 
49.0 4.9 274.4718 
50.0 5.0 277.33237 
51.0 5.1 280.47248 
52.0 5.2 283.89734 
53.0 5.3 287.61189 
54.0 5.4 291.62082 
55.0 5.5 295.92855 
56.0 5.6 300.53926 
57.0 5.7 305.45685 
58.0 5.8 310.685 
59.0 5.9 316.22712 
60.0 6.0 322.0864 
61.0 6.1 328.26578 
62.0 6.2 334.76793 
63.0 6.3 341.59529 
64.0 6.4 348.75004 
65.0 6.5 356.23411 
66.0 6.6 364.04918 
67.0 6.7 372.19664 
68.0 6.8 380.67764 
69.0 6.9 389.49301 
70.0 7.0 398.64331 
71.0 7.1 408.1288 
72.0 7.2 417.94941 
73.0 7.3 428.10476 
74.0 7.4 438.59408 
75.0 7.5 449.4163 
76.0 7.6 460.56992 
77.0 7.7 472.05307 
78.0 7.8 483.86344 
79.0 7.9 495.99832 
80.0 8.0 508.45451 
81.0 8.1 521.22838 
82.0 8.2 534.31581 
83.0 8.3 547.7122 
84.0 8.4 561.41251 
85.0 8.5 575.41125 
86.0 8.6 589.70252 
87.0 8.7 604.2801 
88.0 8.8 619.13755 
89.0 8.9 634.26831 
90.0 9.0 649.66592 
91.0 9.1 665.32424 
92.0 9.2 681.23772 
93.0 9.3 697.40177 
94.0 9.4 713.81317 
95.0 9.5 730.47047 
96.0 9.6 747.37454 
97.0 9.7 764.52898 
98.0 9.8 781.9406 
99.0 9.9 799.61976 
100.0 10.0 817.58057 
101.0 10.1 835.84091 
102.0 10.2 854.42215 
103.0 10.3 873.34863 
104.0 10.4 892.6468 
105.0 10.5 912.34417 
106.0 10.6 932.46798 
107.0 10.7 953.04388 
108.0 10.8 974.09452 
109.0 10.9 995.63845 
110.0 11.0 1017.6891 
111.0 11.1 1040.2545 
112.0 11.2 1063.3365 
113.0 11.3 1086.9316 
114.0 11.4 1111.0308 
115.0 11.5 1135.6206 
116.0 11.6 1160.6834 
117.0 11.7 1186.1988 
118.0 11.8 1212.1442 
119.0 11.9 1238.4958 
120.0 12.0 1265.2295 
121.0 12.1 1292.322 
122.0 12.2 1319.7514 
123.0 12.3 1347.4985 
124.0 12.4 1375.5471 
125.0 12.5 1403.8857 
126.0 12.6 1432.5073 
127.0 12.7 1461.4107 
128.0 12.8 1490.6004 
129.0 12.9 1520.0875 
130.0 13.0 1549.8891 
131.0 13.1 1580.0286 
132.0 13.2 1610.5357 
133.0 13.3 1641.4454 
134.0 13.4 1672.7982 
135.0 13.5 1704.6392 
136.0 13.6 1737.0174 
137.0 13.7 1769.9843 
138.0 13.8 1803.5918 
139.0 13.9 1837.8902 
140.0 14.0 1872.9253 
141.0 14.1 1908.7368 
142.0 14.2 1945.3586 
143.0 14.3 1982.8224 
144.0 14.4 2021.1642 
145.0 14.5 2060.4299 
146.0 14.6 2100.6776 
147.0 14.7 2141.9727 
148.0 14.8 2184.3729 
149.0 14.9 2227.9081 
150.0 15.0 2272.5592 
151.0 15.1 2318.2501 
152.0 15.2 2364.8597 
153.0 15.3 2412.255 
154.0 15.4 2460.3287 
155.0 15.5 2509.0216 
156.0 15.6 2558.3119 
157.0 15.7 2608.1704 
158.0 15.8 2658.5041 
159.0 15.9 2709.1319 
160.0 16.0 2759.824 
161.0 16.1 2810.3741 
162.0 16.2 2860.6522 
163.0 16.3 2910.6283 
164.0 16.4 2960.3902 
165.0 16.5 3010.1567 
166.0 16.6 3060.246 
167.0 16.7 3110.9781 
168.0 16.8 3162.5409 
169.0 16.9 3214.8893 
