Step Temp msd
10000.0 735.91479 19.092277 
10001.0 736.29564 19.094962 
10002.0 736.33103 19.097728 
10003.0 736.06549 19.10057 
10004.0 735.55917 19.103482 
10005.0 734.8796 19.106459 
10006.0 734.09677 19.109495 
10007.0 733.27897 19.112587 
10008.0 732.48713 19.115734 
10009.0 731.76889 19.118936 
10010.0 731.15551 19.122192 
10011.0 730.66411 19.125505 
10012.0 730.30456 19.128878 
10013.0 730.08672 19.132312 
10014.0 730.02332 19.135813 
10015.0 730.12672 19.139383 
10016.0 730.40288 19.143025 
10017.0 730.84686 19.146745 
10018.0 731.44194 19.150543 
10019.0 732.16198 19.154422 
10020.0 732.97572 19.158382 
10021.0 733.85183 19.16242 
10022.0 734.76298 19.166533 
10023.0 735.68767 19.170716 
10024.0 736.61007 19.174962 
10025.0 737.51918 19.179261 
10026.0 738.4091 19.183605 
10027.0 739.28094 19.187984 
10028.0 740.14571 19.192386 
10029.0 741.0262 19.196803 
10030.0 741.95603 19.201225 
10031.0 742.97538 19.205643 
10032.0 744.12397 19.21005 
10033.0 745.43365 19.214442 
10034.0 746.92315 19.218812 
10035.0 748.59659 19.223158 
10036.0 750.44499 19.227478 
10037.0 752.44875 19.23177 
10038.0 754.57922 19.236033 
10039.0 756.79902 19.240265 
10040.0 759.06216 19.244464 
10041.0 761.31564 19.248628 
10042.0 763.50279 19.252754 
10043.0 765.56767 19.256839 
10044.0 767.45972 19.260879 
10045.0 769.13915 19.26487 
10046.0 770.58408 19.268809 
10047.0 771.79842 19.272692 
10048.0 772.81723 19.276516 
10049.0 773.70518 19.280279 
10050.0 774.54528 19.283977 
10051.0 775.4201 19.287609 
10052.0 776.39196 19.29117 
10053.0 777.48992 19.294656 
10054.0 778.70683 19.298062 
10055.0 780.00473 19.301383 
10056.0 781.32625 19.304611 
10057.0 782.61059 19.30774 
10058.0 783.81075 19.310765 
10059.0 784.90446 19.31368 
10060.0 785.89221 19.31648 
10061.0 786.78497 19.319164 
10062.0 787.59124 19.321732 
10063.0 788.31179 19.324187 
10064.0 788.94252 19.326533 
10065.0 789.47978 19.328777 
10066.0 789.92218 19.330926 
10067.0 790.26797 19.332989 
10068.0 790.51207 19.334974 
10069.0 790.64595 19.336888 
10070.0 790.66024 19.338738 
10071.0 790.54875 19.340529 
10072.0 790.31229 19.342265 
10073.0 789.96126 19.34395 
10074.0 789.51603 19.345585 
10075.0 789.00497 19.347175 
10076.0 788.46062 19.34872 
10077.0 787.91517 19.350222 
10078.0 787.3965 19.351684 
10079.0 786.9262 19.353109 
10080.0 786.52011 19.354497 
10081.0 786.19088 19.355853 
10082.0 785.95123 19.357177 
10083.0 785.81608 19.358474 
10084.0 785.80154 19.359744 
10085.0 785.91985 19.360991 
10086.0 786.1714 19.362215 
10087.0 786.53755 19.363416 
10088.0 786.97858 19.364592 
10089.0 787.43795 19.365741 
10090.0 787.85127 19.366855 
10091.0 788.15667 19.367931 
10092.0 788.30324 19.36896 
10093.0 788.2555 19.369937 
10094.0 787.99393 19.370856 
10095.0 787.5142 19.371715 
10096.0 786.82735 19.372509 
10097.0 785.95713 19.373239 
10098.0 784.93028 19.373903 
10099.0 783.76566 19.374502 
10100.0 782.47169 19.375033 
10101.0 781.05209 19.375497 
10102.0 779.51138 19.375893 
10103.0 777.8559 19.376223 
10104.0 776.0921 19.376487 
10105.0 774.22575 19.376687 
10106.0 772.26272 19.376827 
10107.0 770.21038 19.376911 
10108.0 768.07976 19.376945 
10109.0 765.89026 19.376936 
10110.0 763.67524 19.37689 
10111.0 761.48207 19.376816 
10112.0 759.36373 19.376721 
10113.0 757.36568 19.376612 
10114.0 755.51532 19.376497 
10115.0 753.81805 19.376382 
10116.0 752.2604 19.376273 
10117.0 750.81786 19.376177 
10118.0 749.46333 19.376099 
10119.0 748.17389 19.376047 
10120.0 746.93585 19.376026 
10121.0 745.74905 19.376043 
10122.0 744.6292 19.376104 
10123.0 743.60528 19.376216 
10124.0 742.71192 19.376387 
10125.0 741.98025 19.376622 
10126.0 741.43238 19.376929 
10127.0 741.08058 19.377312 
10128.0 740.92909 19.377775 
10129.0 740.97655 19.37832 
10130.0 741.21864 19.378949 
10131.0 741.65064 19.379659 
10132.0 742.26896 19.380449 
10133.0 743.07008 19.381316 
10134.0 744.04841 19.382257 
10135.0 745.19481 19.383268 
10136.0 746.49505 19.384345 
10137.0 747.92577 19.385485 
10138.0 749.44854 19.386685 
10139.0 751.00678 19.387941 
10140.0 752.53046 19.389251 
10141.0 753.94881 19.390612 
10142.0 755.20494 19.392022 
10143.0 756.26476 19.393479 
10144.0 757.11688 19.394981 
10145.0 757.76582 19.396523 
10146.0 758.22254 19.398101 
10147.0 758.49592 19.39971 
10148.0 758.5881 19.401342 
10149.0 758.49408 19.402991 
10150.0 758.20463 19.404647 
10151.0 757.71049 19.406302 
10152.0 757.00584 19.407948 
10153.0 756.09014 19.409576 
10154.0 754.96837 19.411178 
10155.0 753.65138 19.412748 
10156.0 752.15707 19.414277 
10157.0 750.51094 19.415761 
10158.0 748.74357 19.417196 
10159.0 746.88475 19.418576 
10160.0 744.9561 19.419899 
10161.0 742.96572 19.421161 
10162.0 740.90883 19.422361 
10163.0 738.77571 19.423495 
10164.0 736.56392 19.424564 
10165.0 734.2882 19.425566 
10166.0 731.98298 19.426504 
10167.0 729.69724 19.427381 
10168.0 727.48483 19.428199 
10169.0 725.39393 19.428962 
10170.0 723.45982 19.429673 
10171.0 721.70381 19.430336 
10172.0 720.1373 19.430954 
10173.0 718.76799 19.431527 
10174.0 717.60458 19.432059 
10175.0 716.6575 19.43255 
10176.0 715.93532 19.433 
10177.0 715.43895 19.433406 
10178.0 715.15658 19.433766 
10179.0 715.06198 19.434072 
10180.0 715.11644 19.434319 
10181.0 715.27462 19.434498 
10182.0 715.49418 19.4346 
10183.0 715.74713 19.434618 
10184.0 716.02685 19.434545 
10185.0 716.3451 19.434375 
10186.0 716.72015 19.434107 
10187.0 717.16366 19.43374 
10188.0 717.67173 19.433275 
10189.0 718.22124 19.432718 
10190.0 718.77118 19.432076 
10191.0 719.27027 19.431355 
10192.0 719.67123 19.430567 
10193.0 719.94773 19.429721 
10194.0 720.1036 19.428826 
10195.0 720.16651 19.427895 
10196.0 720.16975 19.426939 
10197.0 720.13293 19.425966 
10198.0 720.05154 19.424987 
10199.0 719.90026 19.424009 
10200.0 719.64695 19.423037 
10201.0 719.26822 19.422077 
10202.0 718.7572 19.421132 
10203.0 718.12094 19.420204 
10204.0 717.37159 19.419295 
10205.0 716.5195 19.418408 
10206.0 715.57275 19.417545 
10207.0 714.5411 19.41671 
10208.0 713.43792 19.415907 
10209.0 712.27722 19.415141 
10210.0 711.07051 19.414415 
10211.0 709.8271 19.413735 
10212.0 708.55619 19.413104 
10213.0 707.26722 19.412524 
10214.0 705.96835 19.411998 
10215.0 704.66451 19.411526 
10216.0 703.35533 19.411108 
10217.0 702.03499 19.410743 
10218.0 700.69693 19.41043 
10219.0 699.34143 19.410171 
10220.0 697.97999 19.409966 
10221.0 696.63424 19.409816 
10222.0 695.33209 19.409726 
10223.0 694.10279 19.409699 
10224.0 692.97069 19.409737 
10225.0 691.94932 19.409846 
10226.0 691.04007 19.410025 
10227.0 690.23671 19.410277 
10228.0 689.53181 19.410601 
10229.0 688.91958 19.410997 
10230.0 688.39516 19.411463 
10231.0 687.9556 19.411999 
10232.0 687.60646 19.412606 
10233.0 687.36925 19.413283 
10234.0 687.27975 19.414031 
10235.0 687.37458 19.41485 
10236.0 687.67443 19.415742 
10237.0 688.17427 19.416704 
10238.0 688.84567 19.417736 
