Step Temp msd
10000.0 691.5717 0.20061388 
10001.0 692.79933 0.20059044 
10002.0 694.08704 0.20056759 
10003.0 695.43336 0.20054529 
10004.0 696.83605 0.20052347 
10005.0 698.2921 0.20050208 
10006.0 699.79752 0.20048107 
10007.0 701.3474 0.20046039 
10008.0 702.93594 0.20043998 
10009.0 704.55638 0.2004198 
10010.0 706.20097 0.2003998 
10011.0 707.86104 0.20037994 
10012.0 709.52703 0.20036017 
10013.0 711.18862 0.20034046 
10014.0 712.83477 0.20032077 
10015.0 714.45387 0.20030108 
10016.0 716.03381 0.20028136 
10017.0 717.56228 0.20026157 
10018.0 719.02706 0.20024172 
10019.0 720.41621 0.20022177 
10020.0 721.71826 0.20020173 
10021.0 722.92234 0.20018159 
10022.0 724.01857 0.20016134 
10023.0 724.99814 0.20014099 
10024.0 725.85354 0.20012054 
10025.0 726.57877 0.20010001 
10026.0 727.16953 0.20007941 
10027.0 727.62333 0.20005875 
10028.0 727.93965 0.20003807 
10029.0 728.12005 0.20001738 
10030.0 728.16822 0.1999967 
10031.0 728.08996 0.19997607 
10032.0 727.89314 0.19995551 
10033.0 727.5875 0.19993505 
10034.0 727.18466 0.19991472 
10035.0 726.69788 0.19989455 
10036.0 726.14166 0.19987458 
10037.0 725.53167 0.19985482 
10038.0 724.88447 0.19983531 
10039.0 724.2172 0.19981608 
10040.0 723.54706 0.19979715 
10041.0 722.89099 0.19977854 
10042.0 722.26561 0.19976028 
10043.0 721.68693 0.19974239 
10044.0 721.17005 0.19972487 
10045.0 720.72896 0.19970776 
10046.0 720.3764 0.19969105 
10047.0 720.12359 0.19967477 
10048.0 719.98013 0.1996589 
10049.0 719.95392 0.19964347 
10050.0 720.05093 0.19962847 
10051.0 720.27519 0.1996139 
10052.0 720.62869 0.19959975 
10053.0 721.11138 0.19958602 
10054.0 721.72117 0.1995727 
10055.0 722.45391 0.19955977 
10056.0 723.30352 0.19954722 
10057.0 724.26208 0.19953504 
10058.0 725.32012 0.19952319 
10059.0 726.46678 0.19951167 
10060.0 727.68985 0.19950045 
10061.0 728.97612 0.19948949 
10062.0 730.31184 0.19947878 
10063.0 731.68294 0.19946829 
10064.0 733.07534 0.19945799 
10065.0 734.47516 0.19944784 
10066.0 735.869 0.19943783 
10067.0 737.24422 0.19942792 
10068.0 738.58909 0.19941809 
10069.0 739.89293 0.1994083 
10070.0 741.14633 0.19939854 
10071.0 742.34125 0.19938878 
10072.0 743.47093 0.19937899 
10073.0 744.53 0.19936915 
10074.0 745.51459 0.19935925 
10075.0 746.42228 0.19934927 
10076.0 747.25206 0.19933919 
10077.0 748.00425 0.199329 
10078.0 748.68034 0.19931869 
10079.0 749.28286 0.19930825 
10080.0 749.81518 0.19929767 
10081.0 750.28132 0.19928694 
10082.0 750.68557 0.19927607 
10083.0 751.03255 0.19926505 
10084.0 751.327 0.19925387 
10085.0 751.5736 0.19924255 
10086.0 751.77679 0.19923108 
10087.0 751.94055 0.19921947 
10088.0 752.0684 0.19920773 
10089.0 752.16343 0.19919585 
10090.0 752.22818 0.19918385 
10091.0 752.26449 0.19917174 
10092.0 752.27356 0.19915953 
10093.0 752.25609 0.19914722 
10094.0 752.21235 0.19913484 
10095.0 752.14228 0.19912239 
10096.0 752.04546 0.19910989 
10097.0 751.92119 0.19909734 
10098.0 751.76855 0.19908477 
10099.0 751.58663 0.19907219 
10100.0 751.37445 0.19905961 
10101.0 751.13126 0.19904704 
10102.0 750.85676 0.1990345 
10103.0 750.55138 0.199022 
10104.0 750.21615 0.19900956 
10105.0 749.85238 0.19899717 
10106.0 749.46202 0.19898485 
10107.0 749.04774 0.19897262 
10108.0 748.61284 0.19896047 
10109.0 748.16128 0.19894841 
10110.0 747.69772 0.19893645 
10111.0 747.22749 0.19892459 
10112.0 746.7564 0.19891285 
10113.0 746.29065 0.19890121 
10114.0 745.83663 0.19888968 
10115.0 745.40071 0.19887827 
10116.0 744.989 0.19886698 
10117.0 744.60721 0.19885581 
10118.0 744.26051 0.19884476 
10119.0 743.95343 0.19883385 
10120.0 743.68973 0.19882306 
10121.0 743.47242 0.19881242 
10122.0 743.30367 0.19880192 
10123.0 743.18507 0.19879157 
10124.0 743.11755 0.19878138 
10125.0 743.10121 0.19877135 
10126.0 743.13546 0.1987615 
10127.0 743.21917 0.19875185 
10128.0 743.3507 0.19874239 
10129.0 743.52808 0.19873314 
10130.0 743.7491 0.19872411 
10131.0 744.01131 0.19871533 
10132.0 744.31223 0.1987068 
10133.0 744.64918 0.19869854 
10134.0 745.01906 0.19869056 
10135.0 745.41849 0.19868289 
10136.0 745.84377 0.19867554 
10137.0 746.2909 0.19866853 
10138.0 746.75573 0.19866187 
10139.0 747.23378 0.1986556 
10140.0 747.72009 0.19864972 
10141.0 748.20932 0.19864426 
10142.0 748.69586 0.19863925 
10143.0 749.17387 0.19863469 
10144.0 749.63749 0.19863062 
10145.0 750.08093 0.19862706 
10146.0 750.49876 0.19862403 
10147.0 750.88601 0.19862154 
10148.0 751.23828 0.19861964 
10149.0 751.55204 0.19861833 
10150.0 751.82468 0.19861765 
10151.0 752.0545 0.19861761 
10152.0 752.24082 0.19861824 
10153.0 752.38404 0.19861955 
10154.0 752.48549 0.19862157 
10155.0 752.54739 0.19862433 
10156.0 752.57233 0.19862784 
10157.0 752.56359 0.19863211 
