a1 a2 energy
16.3755 16.375501 -0.73168505 
16.391875 16.391877 -0.73168505 
16.408251 16.408252 -0.76372024 
16.424626 16.424628 -0.79537838 
16.441002 16.441003 -0.82662344 
16.457377 16.457379 -0.85742486 
16.473753 16.473754 -0.88775732 
16.490128 16.49013 -0.91760044 
16.506504 16.506505 -0.94693825 
16.522879 16.522881 -0.97575877 
16.539255 16.539256 -1.0040535 
16.55563 16.555632 -1.0318169 
16.572006 16.572007 -1.059046 
16.588381 16.588383 -1.0857401 
16.604757 16.604758 -1.1119003 
16.621132 16.621134 -1.1375293 
16.637508 16.637509 -1.1626308 
16.653883 16.653885 -1.18721 
16.670259 16.67026 -1.2112725 
16.686634 16.686636 -1.2348249 
16.70301 16.703011 -1.2578744 
16.719385 16.719387 -1.2804283 
16.735761 16.735762 -1.3024947 
16.752136 16.752138 -1.3240818 
16.768512 16.768513 -1.3451978 
16.784887 16.784889 -1.3658515 
16.801263 16.801264 -1.3860514 
16.817638 16.81764 -1.4058064 
16.834014 16.834015 -1.4251252 
16.850389 16.850391 -1.4440169 
16.866765 16.866766 -1.4624901 
16.88314 16.883142 -1.480554 
16.899516 16.899517 -1.4982172 
16.915891 16.915893 -1.5154887 
16.932267 16.932268 -1.5323772 
16.948642 16.948644 -1.5488916 
16.965018 16.965019 -1.5650406 
16.981393 16.981395 -1.5808329 
16.997769 16.99777 -1.596277 
17.014144 17.014146 -1.6113815 
17.03052 17.030521 -1.6261549 
17.046895 17.046897 -1.6406057 
17.063271 17.063272 -1.6547422 
17.079646 17.079648 -1.6685726 
17.096022 17.096023 -1.6821052 
17.112397 17.112399 -1.695348 
17.128773 17.128774 -1.7083092 
17.145148 17.14515 -1.7209966 
17.161524 17.161525 -1.7334181 
17.177899 17.177901 -1.7455815 
17.194275 17.194276 -1.7574944 
17.21065 17.210652 -1.7691645 
17.227026 17.227027 -1.780599 
17.243402 17.243403 -1.7918055 
17.259777 17.259778 -1.8027912 
17.276152 17.276154 -1.8135633 
17.292528 17.292529 -1.8241286 
17.308903 17.308905 -1.8344943 
17.325279 17.32528 -1.844667 
17.341655 17.341656 -1.854655 
17.35803 17.358031 -1.8644667 
17.374405 17.374407 -1.8741085 
17.390781 17.390782 -1.8835868 
17.407156 17.407158 -1.8929078 
17.423532 17.423533 -1.9020776 
17.439908 17.439909 -1.911102 
17.456283 17.456284 -1.9199869 
17.472658 17.47266 -1.9287378 
17.489034 17.489035 -1.9373602 
17.505409 17.505411 -1.9458594 
17.521785 17.521786 -1.9542405 
17.538161 17.538162 -1.9625084 
17.554536 17.554537 -1.9706679 
17.570911 17.570913 -1.9787237 
17.587287 17.587288 -1.9866801 
17.603662 17.603664 -1.9945414 
17.620038 17.620039 -2.0023117 
17.636413 17.636415 -2.0099949 
17.652789 17.65279 -2.0175946 
17.669164 17.669166 -2.0251144 
17.68554 17.685541 -2.0325575 
17.701915 17.701917 -2.0399272 
17.718291 17.718292 -2.0472264 
17.734666 17.734668 -2.0544577 
17.751042 17.751043 -2.0616239 
17.767417 17.767419 -2.0687272 
17.783793 17.783794 -2.0757698 
17.800168 17.80017 -2.0827538 
17.816544 17.816545 -2.0896808 
17.832919 17.832921 -2.0965525 
17.849295 17.849296 -2.1033702 
17.86567 17.865672 -2.1101353 
17.882046 17.882047 -2.1168487 
17.898421 17.898423 -2.1235113 
17.914797 17.914798 -2.1301236 
17.931172 17.931174 -2.1366863 
17.947548 17.947549 -2.1431995 
17.963923 17.963925 -2.1496635 
17.980299 17.9803 -2.156078 
17.996674 17.996676 -2.162443 
18.01305 18.013051 -2.1687579 
18.029425 18.029427 -2.1750223 
18.045801 18.045802 -2.1812355 
18.062176 18.062178 -2.1873965 
18.078552 18.078553 -2.1935044 
18.094927 18.094929 -2.1995579 
18.111303 18.111304 -2.2055559 
18.127678 18.12768 -2.2114968 
18.144054 18.144055 -2.2173791 
18.160429 18.160431 -2.2232012 
18.176805 18.176806 -2.2289613 
18.19318 18.193182 -2.2346574 
18.209556 18.209557 -2.2402877 
18.225931 18.225933 -2.2458501 
18.242307 18.242308 -2.2513425 
18.258682 18.258684 -2.2567628 
18.275058 18.275059 -2.2621088 
18.291433 18.291435 -2.2673785 
18.307809 18.30781 -2.2725698 
18.324184 18.324186 -2.2776808 
18.34056 18.340561 -2.28271 
18.356935 18.356937 -2.2876559 
18.373311 18.373312 -2.2925177 
18.389686 18.389688 -2.2972951 
18.406062 18.406063 -2.3019885 
18.422437 18.422439 -2.3066071 
18.438813 18.438814 -2.3111351 
18.455188 18.45519 -2.3155843 
18.471564 18.471565 -2.3199558 
18.487939 18.487941 -2.3242484 
18.504315 18.504316 -2.3284553 
18.52069 18.520692 -2.3325604 
18.537066 18.537067 -2.3365353 
18.553441 18.553443 -2.3403394 
18.569817 18.569818 -2.3439261 
18.586192 18.586194 -2.347257 
18.602568 18.602569 -2.3503182 
18.618943 18.618945 -2.3531294 
18.635319 18.63532 -2.3557408 
18.651694 18.651696 -2.3582205 
18.66807 18.668071 -2.3606399 
18.684445 18.684447 -2.3630631 
18.700821 18.700822 -2.3655377 
18.717197 18.717198 -2.3680414 
18.733572 18.733573 -2.3706948 
18.749948 18.749949 -2.3735786 
18.766323 18.766324 -2.3767156 
18.782698 18.7827 -2.3801183 
18.799074 18.799075 -2.3837886 
18.815449 18.815451 -2.3877175 
18.831825 18.831826 -2.3918855 
18.848201 18.848202 -2.3962643 
18.864576 18.864577 -2.4008184 
18.880951 18.880953 -2.4055076 
18.897327 18.897328 -2.4102897 
18.913702 18.913704 -2.4151221 
18.930078 18.930079 -2.4199646 
18.946454 18.946455 -2.42478 
18.962829 18.96283 -2.4302599 
18.979204 18.979206 -2.4365888 
18.99558 18.995581 -2.442748 
