a_1 a_2 energy
10.0 9.9999953 2.97197 
10.01 10.009995 2.97197 
10.02 10.019995 2.9256422 
10.03 10.029995 2.8796881 
10.04 10.039995 2.8341132 
10.05 10.049995 2.788923 
10.06 10.059995 2.7441221 
10.07 10.069995 2.6997153 
10.08 10.079995 2.6557064 
10.09 10.089995 2.6120992 
10.1 10.099995 2.5688967 
10.11 10.109995 2.5261017 
10.12 10.119995 2.4837161 
10.13 10.129995 2.4417415 
10.14 10.139995 2.4001789 
10.15 10.149995 2.3590287 
10.16 10.159995 2.3182905 
10.17 10.169995 2.2779637 
10.18 10.179995 2.2380466 
10.19 10.189995 2.1985372 
10.2 10.199995 2.1594327 
10.21 10.209995 2.1207297 
10.22 10.219995 2.0824241 
10.23 10.229995 2.0445112 
10.24 10.239995 2.0069857 
10.25 10.249995 1.9698414 
10.26 10.259995 1.9330718 
10.27 10.269995 1.8966756 
10.28 10.279995 1.8606382 
10.29 10.289995 1.8249509 
10.3 10.299995 1.7896049 
10.31 10.309995 1.7545905 
10.32 10.319995 1.7198979 
10.33 10.329995 1.6855165 
10.34 10.339995 1.6514353 
10.35 10.349995 1.6176429 
10.36 10.359995 1.5841274 
10.37 10.369995 1.5508766 
10.38 10.379995 1.517878 
10.39 10.389995 1.4851185 
10.4 10.399995 1.452585 
10.41 10.409995 1.4202642 
10.42 10.419995 1.3881422 
10.43 10.429995 1.3562053 
10.44 10.439995 1.3244396 
10.45 10.449995 1.292831 
10.46 10.459995 1.2613654 
10.47 10.469995 1.2300286 
10.48 10.479995 1.1988066 
10.49 10.489995 1.1676852 
10.5 10.499995 1.1366505 
10.51 10.509995 1.1056887 
10.52 10.519995 1.074786 
10.53 10.529995 1.043929 
10.54 10.539995 1.0131042 
10.55 10.549995 0.98229871 
10.56 10.559995 0.95149972 
10.57 10.569995 0.92069476 
10.58 10.579995 0.88987169 
10.59 10.589995 0.85901873 
10.6 10.599995 0.82812447 
10.61 10.609995 0.79717791 
10.62 10.619995 0.76616844 
10.63 10.629995 0.73508592 
10.64 10.639995 0.70392063 
10.65 10.649995 0.67266333 
10.66 10.659995 0.64130524 
10.67 10.669995 0.60983808 
10.68 10.679995 0.57825405 
10.69 10.689995 0.54654589 
10.7 10.699995 0.51470679 
10.71 10.709995 0.48273049 
10.72 10.719995 0.45061125 
10.73 10.729995 0.41834382 
10.74 10.739995 0.38592347 
10.75 10.749995 0.35334601 
10.76 10.759995 0.32060772 
10.77 10.769995 0.28770542 
10.78 10.779995 0.25463642 
