v_strainx v_stressx v_strainy v_stressy
0.0 11.365532 0.0 11.365572 
-0.00011355853 11.401053 -0.00011355893 11.501644 
-0.00045481164 11.697556 -0.00045682136 11.902593 
-0.0010292368 12.24968 -0.0010373428 12.56941 
-0.0018469365 13.036564 -0.0018674894 13.488302 
-0.0029219103 13.994305 -0.0029638329 14.602639 
-0.0042702915 14.969498 -0.0043455014 15.764092 
-0.0059066087 15.667295 -0.0060304909 16.675171 
-0.0078371069 15.644257 -0.0080288583 16.874051 
-0.010050234 14.354183 -0.010332748 15.765339 
-0.012505733 10.931403 -0.012904425 12.344524 
-0.015119109 3.3791533 -0.015658067 4.4364902 
-0.017727737 -10.701414 -0.018422743 -10.125252 
-0.02005477 -28.861022 -0.020911351 -28.811531 
-0.02176665 -42.415333 -0.022780115 -43.203618 
-0.022636891 -44.911604 -0.023787566 -47.16202 
-0.022653278 -37.566223 -0.023895866 -40.56023 
-0.021981569 -26.419541 -0.023258914 -28.421293 
-0.020849193 -16.346552 -0.022124031 -16.656987 
-0.019456658 -8.9486786 -0.020723757 -7.8695933 
-0.017950115 -4.0478824 -0.019229882 -2.0251658 
-0.016425851 -0.83771416 -0.017755406 1.7199853 
-0.014945909 1.369864 -0.016370967 4.0506005 
-0.01355132 2.9236129 -0.015118168 5.3833435 
-0.012268968 3.9417858 -0.014017935 5.9999202 
-0.011114179 4.4766312 -0.013076422 6.1506774 
-0.010092141 4.6094421 -0.012290326 6.0258686 
-0.0091999149 4.4147006 -0.01165097 5.6877991 
-0.0084282705 3.926225 -0.011145832 5.1180624 
-0.0077626658 3.1579654 -0.010758458 4.280427 
-0.0071837814 2.213325 -0.01046799 3.1990626 
-0.0066697013 1.2779161 -0.010249821 1.9667555 
-0.0061995561 0.43605931 -0.010077483 0.64537879 
-0.0057550768 -0.36638996 -0.0099238544 -0.70958469 
-0.0053194274 -1.240327 -0.0097621699 -2.1022359 
-0.0048749777 -2.3175603 -0.009565843 -3.6378017 
-0.0044007305 -3.5621304 -0.0093063444 -5.3612269 
-0.0038730473 -4.6271454 -0.0089522865 -6.8630788 
-0.0032723536 -5.1493122 -0.008477262 -7.4933481 
-0.0025900156 -4.9769707 -0.0078721469 -6.8941683 
-0.001831008 -4.2358101 -0.0071515728 -5.2939462 
-0.0010111953 -3.1348557 -0.00634904 -3.2890576 
-0.00015307573 -1.8531204 -0.0055050556 -1.370845 
0.00071781041 -0.61323094 -0.0046575231 0.24358229 
0.0015772859 0.38553283 -0.0038376062 1.5520183 
0.0024064261 1.1359809 -0.0030698356 2.6564691 
0.0031915974 1.7713921 -0.0023742482 3.6748709 
0.0039217117 2.4764728 -0.0017688065 4.7305047 
