v_strainx v_stressx v_strainy v_stressy
0.0 -864.43283 0.0 -864.43285 
0.0018135647 -850.07344 0.0018135648 -850.28022 
0.0072076671 -806.10058 0.0072085412 -806.49841 
0.015893723 -733.46088 0.015897153 -734.04316 
0.027015787 -647.04564 0.027024087 -647.8218 
0.039112841 -577.46689 0.039128589 -578.42504 
0.050786568 -544.5643 0.050812132 -545.6278 
0.061480778 -542.91186 0.061518021 -543.96355 
0.071480305 -558.72414 0.071530628 -559.6665 
0.081380882 -581.84096 0.081445328 -582.62196 
0.091676404 -604.70016 0.091755584 -605.31534 
0.1026001 -619.95502 0.10269403 -620.42933 
0.114107 -621.45128 0.11421505 -621.79127 
0.1259387 -607.18958 0.12605953 -607.3453 
0.13775566 -580.85255 0.1378871 -580.94164 
0.14928317 -547.60796 0.14942308 -548.65681 
0.16038009 -508.47396 0.16053212 -508.21466 
0.17100088 -467.35171 0.17116039 -464.99766 
0.18115083 -427.92363 0.18130244 -425.24175 
0.19085581 -384.69946 0.19098623 -383.28919 
0.20010263 -349.05185 0.2002095 -353.19663 
0.2089107 -306.79535 0.20902667 -308.93481 
0.2172348 -277.09812 0.21737131 -277.96095 
0.22510666 -244.0263 0.22526409 -243.44208 
0.23251379 -218.54061 0.23268298 -213.61227 
0.23948495 -204.43147 0.23962934 -199.75951 
0.24610802 -186.59055 0.24620133 -184.99731 
0.25241146 -173.76341 0.25245497 -178.17511 
0.25844126 -171.48758 0.258479 -171.71365 
0.2642998 -162.50998 0.26433489 -162.51846 
0.27000825 -163.77748 0.27004146 -165.40582 
0.2756532 -145.05377 0.27569741 -151.40259 
0.2811429 -140.51538 0.28124488 -143.82719 
0.28651012 -143.2358 0.28668329 -148.62955 
0.29183446 -111.56016 0.29210653 -116.72976 
0.29689991 -103.48723 0.29729164 -108.60109 
0.30172298 -112.30398 0.30225115 -112.9924 
0.3064543 -103.8388 0.30709652 -101.51793 
0.31106856 -103.58833 0.31178232 -96.226935 
0.31561243 -103.08671 0.3163211 -98.104919 
0.3201195 -100.56125 0.32078173 -96.391442 
0.32459743 -93.972973 0.32518654 -92.844933 
0.32901475 -85.66825 0.32953544 -86.313626 
0.33332857 -82.856695 0.3338001 -85.347085 
0.33755128 -87.67602 0.3380057 -93.295487 
0.34176064 -78.166832 0.34225255 -79.764151 
0.3458881 -77.955369 0.34642541 -81.142471 
0.34996168 -73.374794 0.35056585 -77.667479 
0.35396272 -75.790113 0.354662 -79.772448 
0.35794073 -75.425661 0.35875584 -76.825332 
0.36190937 -72.59115 0.36283317 -71.618726 
0.36585541 -64.566123 0.36685948 -61.959296 
0.36971681 -55.003802 0.37076189 -53.557375 
0.37342634 -51.531589 0.37449137 -50.521737 
0.37698779 -46.485329 0.37805964 -46.247164 
0.38038813 -45.337195 0.38146357 -45.416775 
0.38365494 -45.297512 0.38473452 -45.056157 
0.38682178 -42.6085 0.38790268 -41.77207 
0.38988879 -40.892525 0.39096256 -40.687297 
0.39286523 -34.039175 0.39393124 -32.68598 
0.39570458 -30.518403 0.39675027 -29.995916 
0.39840139 -33.584627 0.39942478 -33.503841 
0.40101951 -34.645597 0.40202355 -34.721949 
0.40359106 -31.04601 0.40457988 -31.1715 
0.40609287 -23.522292 0.40707037 -23.489331 
0.40846211 -19.584083 0.40942987 -19.290935 
0.41068303 -10.874847 0.41163947 -10.239115 
0.41268925 -8.911641 0.4136292 -9.2998828 
0.41449655 -12.581837 0.41542675 -13.012911 
0.41617938 -15.51272 0.41710608 -15.449996 
0.41779286 -16.885375 0.41871597 -16.750382 
0.4193666 -13.442214 0.42028524 -12.815317 
0.42087202 -10.291996 0.4217799 -9.4124762 
0.42228706 -10.274542 0.42317585 -9.5458021 
0.42362722 -12.856134 0.42449133 -12.259625 
0.42493486 -15.919562 0.42577087 -15.298806 
0.4262521 -17.191362 0.42705673 -16.517203 
0.42759523 -17.691479 0.42836493 -17.12878 
0.42896967 -17.143986 0.42970252 -17.48803 
0.43036807 -10.716212 0.43107274 -10.803414 
0.43171623 -2.047769 0.43239725 -2.0450844 
0.43292255 1.5607865 0.43358278 1.4544127 
0.43396437 0.7746484 0.43460755 0.88042269 
0.43487224 -3.3736293 0.43549917 -2.8793966 
0.4357119 -7.950761 0.43631874 -7.4766855 
0.43654625 -8.7961232 0.43712984 -8.4716058 
0.43738728 -5.7759169 0.43794653 -5.5114929 
0.43820017 -6.4378437 0.43873476 -6.0646502 
0.43899715 -4.016739 0.43950549 -3.522571 
0.43975267 -1.1540701 0.44023185 -0.61321574 
0.44043853 1.7693624 0.44088536 2.2557114 
0.44102862 3.0619877 0.44144085 3.4658738 
0.44151871 2.9428808 0.44189525 3.2956943 
0.44192151 -0.4040248 0.44226196 -0.064871847 
0.44228662 -2.8256817 0.44259074 -2.5101549 
0.44264732 -3.3535176 0.44291514 -3.128871 
0.44301084 -2.3448237 0.44324341 -2.2357409 
0.44336526 1.4139081 0.44356489 1.4906997 
0.44366695 3.4737755 0.44383602 3.5619736 
0.44389682 2.9343576 0.44403734 3.0018223 
0.44406871 1.0801202 0.44418269 1.1066258 
0.44421077 -0.79779814 0.44430049 -0.79503102 
0.44434862 -2.5680448 0.44441641 -2.5909945 
0.44450409 -1.5344593 0.44455233 -1.5874688 
0.44466321 1.3828677 0.4446944 1.3121402 
0.44479066 2.952425 0.44480725 2.8866307 
0.4448706 2.9829046 0.44487476 2.9832393 
0.44490716 0.56486518 0.44490003 0.57084896 
0.44493354 -1.7175904 0.4449161 -1.7310052 
0.44497825 -3.1750828 0.44495159 -3.210644 
0.44505727 -2.7968978 0.44502266 -2.8400248 
0.44516301 -0.46067961 0.44512167 -0.50694712 
0.44526493 2.8982859 0.44521802 2.836056 
0.4453228 4.4352748 0.44527157 4.3458917 
0.44532194 4.5007223 0.44526785 4.3580747 
0.44526666 1.7843262 0.44521169 1.6137686 
0.44519454 -2.3274806 0.44514083 -2.4742403 
0.44515679 -3.3528165 0.44510601 -3.4727729 
0.44516287 -2.6087886 0.44511622 -2.7510953 
0.44520006 -1.3876261 0.44515891 -1.5228098 
0.44525097 2.0452569 0.4452165 1.9417169 
0.44527285 3.7386953 0.44524577 3.6725867 
0.44524757 3.1051545 0.44522807 3.1006465 
0.44518668 1.5491777 0.4451742 1.6301535 
0.44511194 1.1832099 0.44510492 1.276635 
0.44502889 0.98961027 0.44502575 1.0299427 
0.44494049 0.28998979 0.44494043 0.28929013 
0.44485562 0.6621093 0.44485841 0.66506818 
0.44476945 1.093538 0.44477482 1.1021332 
0.44467678 3.4900888 0.44468443 3.4930347 
0.44454898 6.4241339 0.44455869 6.433893 
0.44435311 6.0309107 0.4443646 6.0239776 
0.44409917 3.190712 0.44411238 3.1144138 
0.44382604 1.7907368 0.44384177 1.7022272 
0.44355208 0.57224431 0.44357122 0.52698825 
0.44329203 0.53009341 0.44331486 0.58616185 
0.44304524 2.3392458 0.44307079 2.5016778 
0.44278865 2.021487 0.44281476 2.2185298 
0.44252677 2.3427934 0.44255101 2.4636084 
0.44225601 1.3175799 0.44227704 1.4085261 
0.44198935 0.20680948 0.44200631 0.31853358 
0.44173982 1.2164259 0.44175167 1.3981117 
0.44149386 0.13153739 0.44149877 0.47772312 
0.44126424 -1.41555 0.44125853 -0.95656724 
0.4410684 -4.1498464 0.44104729 -3.722478 
0.44093686 -3.927273 0.44089629 -3.6214767 
0.44086225 1.2240426 0.44079992 1.4784649 
0.44077816 4.8826373 0.44069254 5.1815283 
0.440641 4.500128 0.44053014 4.7905762 
0.44045912 1.5527872 0.4403213 1.7589762 
0.44027126 -3.2780258 0.44010588 -3.111469 
0.44013615 -4.4101302 0.43994314 -4.182115 
0.44006375 -5.4142887 0.43984226 -5.1732403 
0.44006179 -3.0688278 0.43981086 -2.9374076 
0.44009706 -1.859326 0.43981714 -1.7134054 
0.4401524 0.26047598 0.43984369 0.58351871 
0.44020082 4.0100808 0.43986139 4.5154978 
0.44019747 3.7787526 0.43982329 4.4110543 
0.44014863 -0.77053708 0.43973442 -0.074366738 
0.4401124 -3.54278 0.43965243 -2.871062 
0.44012146 -3.5990514 0.43961066 -2.9744384 
0.44017348 -1.4194706 0.43960765 -0.82670003 
0.44023922 1.8706279 0.43961484 2.3598147 
0.440278 4.0667205 0.43959301 4.4452023 
0.44026499 4.1189891 0.43951883 4.2676925 
0.44020296 0.76242183 0.43939785 0.72870581 
0.44013574 -3.05305 0.43927595 -3.162095 
0.44010985 -6.4448728 0.43920023 -6.5853832 
0.44016368 -5.5083984 0.43920909 -5.7177216 
0.44028078 -2.9642346 0.43928659 -3.2865144 
0.44042631 0.49019559 0.43939893 0.16024784 
0.44055663 2.8122343 0.43950218 2.6097671 
0.4406446 2.4244005 0.43956727 2.3574676 
0.4406976 1.4626349 0.43959967 1.4709939 
0.44072953 -0.30158898 0.4396122 -0.23180439 
0.44076312 -0.53954313 0.43962676 -0.442652 
0.44080117 -0.70908181 0.43964579 -0.64119872 
0.44084546 -1.8963174 0.43967141 -1.8140786 
0.44091004 -4.0823912 0.43971746 -4.0052836 
0.44102022 -2.7618004 0.43980928 -2.7219253 
0.44115719 -0.37423638 0.4399285 -0.45866141 
0.44129034 -0.099098935 0.44004601 -0.40839237 
0.44141659 0.28334963 0.44016132 -0.24125703 
0.44153172 -2.2946444 0.44027256 -2.9095232 
0.44166782 -0.31741971 0.44041245 -0.96514968 
0.44179959 1.3008676 0.44055565 0.64334518 
0.4419076 2.5608045 0.44068244 1.8916492 
0.44197797 1.2553063 0.44077862 0.57269424 
0.44202885 -0.9321922 0.44086209 -1.6242114 
0.44208806 -2.3456525 0.44096039 -3.0074578 
0.44217238 -2.6582905 0.44108952 -3.1899078 
0.44228413 -1.7153603 0.4412499 -2.0193113 
0.44241026 0.64441962 0.44142549 0.51928629 
0.44252113 0.98280299 0.44158447 0.91048881 
0.44261354 0.48848103 0.44172307 0.33854463 
0.44269462 0.71062257 0.44184949 0.54659769 
0.44276231 1.3423866 0.44196191 1.1540241 
0.44280969 0.54634405 0.44205374 0.30472524 
0.44284767 -1.0120773 0.44213657 -1.3278406 
0.44289585 -2.7959633 0.44223087 -3.1701282 
0.44297546 -2.7476222 0.44235853 -3.202752 
0.44308414 -0.14649116 0.44251808 -0.68200577 
0.44318844 2.5699005 0.44267691 1.9624423 
0.44325539 3.7508495 0.44280275 3.0484692 
0.44327264 4.4132426 0.44288418 3.6759427 
0.44323488 3.0161937 0.44291603 2.3401978 
0.44316231 -0.069199286 0.44291744 -0.58599022 
0.44309465 -2.8677549 0.44292595 -3.2041795 
0.44306589 -3.4912795 0.44297323 -3.6995831 
0.4430815 -0.33947145 0.44306319 -0.42791986 
0.44310039 3.2537048 0.44315341 3.2880427 
0.44307839 4.8632524 0.44319837 4.9949636 
0.44299802 2.9422574 0.44317966 3.1545627 
0.44288602 -0.10828541 0.44312332 0.15025044 
0.44278149 -1.6234037 0.44306824 -1.411118 
0.44270256 -0.96002793 0.44303345 -0.8331901 
0.44263969 -0.21958288 0.44301077 -0.16535251 
0.44258293 -1.3207696 0.44299134 -1.3556093 
0.44254542 -1.9632598 0.44298959 -2.1416238 
0.44253398 -1.0152942 0.44301417 -1.382259 
0.4425356 0.51127311 0.44305437 0.093384388 
0.44253087 1.7019315 0.44309128 1.3580518 
0.44250554 2.744401 0.44310957 2.505287 
0.44244795 2.8319204 0.44309619 2.7021421 
0.44235872 -0.31178704 0.4430504 -0.3324516 
0.44227804 -1.7800152 0.44301111 -1.6753172 
0.44222344 -2.9829815 0.44299444 -2.7763591 
0.44220827 -2.5274388 0.44301268 -2.2327424 
0.44222486 0.36984051 0.44305734 0.74886145 
0.44223605 2.6960899 0.44309049 3.1624743 
0.44221363 4.1250131 0.44308313 4.6274562 
0.44214183 2.8736455 0.44301942 3.3898736 
0.44203854 1.0944946 0.44291745 1.5625961 
0.44192721 -0.27965564 0.44280162 0.10476995 
0.44182506 -1.2356059 0.44269049 -0.89525239 
0.44174331 -1.3633125 0.44259607 -1.1310571 
0.44168247 -0.41597059 0.44252037 -0.34668972 
0.44162984 0.13048665 0.4424528 0.10461275 
0.44157831 2.0340198 0.44238741 2.039001 
0.4415045 2.5798464 0.44230037 2.6102126 
0.44140286 1.481925 0.44218579 1.5944412 
0.44128824 1.3500029 0.44205749 1.5815349 
0.4411629 -1.0768435 0.44191632 -0.64966086 
0.44105707 -1.9613374 0.44179024 -1.3640023 
0.44098057 -2.9319598 0.44168721 -2.214936 
0.44094378 -4.3718732 0.44161646 -3.5728549 
0.44096233 -3.5838076 0.441593 -2.7706554 
0.4410238 0.16790076 0.44160462 1.0456933 
0.44108018 3.669749 0.44160287 4.5740473 
0.44108884 3.8180859 0.44154521 4.6214715 
0.44105035 3.4894589 0.44143383 4.1062626 
0.44097107 1.6094104 0.44127769 2.019788 
0.440876 -0.06691864 0.44110455 0.13722459 
0.44078643 -1.1651735 0.44093826 -1.1082787 
0.44071551 -4.3940938 0.4407937 -4.4777072 
0.44070181 -4.0177986 0.44071098 -4.126044 
0.44073792 -2.3293737 0.44068277 -2.3378725 
0.44080078 0.28558237 0.44068453 0.37839906 
0.4408571 2.6741123 0.44068158 2.848852 
0.44087798 1.9887017 0.44064393 2.2821926 
0.44087352 1.0034768 0.44058019 1.4824744 
0.440857 -1.3437591 0.44050138 -0.69438423 
0.44085773 -3.56789 0.44043487 -2.8632902 
0.44090208 -2.6503695 0.44040657 -1.933017 
0.44097675 0.017613878 0.44040328 0.63067252 
0.44104765 0.12348434 0.44039244 0.62681058 
0.44111368 -0.37629217 0.44037444 -0.0055861477 
0.44118118 -1.0108451 0.44035738 -0.79820926 
0.44125787 -0.99947566 0.44035089 -0.95662899 
0.44134319 -1.8950085 0.44035643 -1.956382 
0.44144771 -2.4111003 0.44038565 -2.5664918 
0.44157687 -1.551081 0.44044493 -1.7962492 
0.44171899 0.5017902 0.44052342 0.16590204 
0.44184832 1.2200357 0.44059622 0.82149121 
0.44195667 0.6296577 0.44065557 0.29348238 
0.44205225 -1.2567129 0.44070855 -1.4610514 
0.44215882 -0.69985749 0.44077699 -0.81136356 
0.44226904 1.69189 0.44085221 1.5703021 
0.44235341 0.54891524 0.44090469 0.49260272 
0.44242714 -1.0064082 0.44094872 -1.0042574 
0.44250985 -2.5112258 0.44100304 -2.5122736 
