Step Strain_x Stress_x
1001.0 0.38874251 -22.69693 
1002.0 0.38888137 -24.13483 
1003.0 0.38902023 -25.656366 
1004.0 0.3891591 -27.071037 
1005.0 0.38929796 -28.3584 
1006.0 0.38943682 -29.471632 
1007.0 0.38957568 -30.396867 
1008.0 0.38971454 -31.168281 
1009.0 0.3898534 -31.843194 
1010.0 0.38999226 -32.46374 
1011.0 0.39013112 -33.047259 
1012.0 0.39026998 -33.596711 
1013.0 0.39040884 -34.113435 
1014.0 0.3905477 -34.605999 
1015.0 0.39068656 -35.091933 
1016.0 0.39082542 -35.596958 
1017.0 0.39096428 -36.151809 
1018.0 0.39110314 -36.785514 
1019.0 0.391242 -37.512701 
1020.0 0.39138086 -38.3166 
1021.0 0.39151972 -39.137362 
1022.0 0.39165858 -39.89043 
1023.0 0.39179744 -40.518066 
1024.0 0.3919363 -40.960805 
1025.0 0.39207516 -41.228292 
1026.0 0.39221402 -41.322402 
1027.0 0.39235288 -41.240171 
1028.0 0.39249174 -40.974042 
1029.0 0.3926306 -40.521054 
1030.0 0.39276946 -39.894295 
1031.0 0.39290833 -39.127482 
1032.0 0.39304719 -38.266001 
1033.0 0.39318605 -37.275982 
1034.0 0.39332491 -36.340602 
1035.0 0.39346377 -35.423092 
1036.0 0.39360263 -34.534705 
1037.0 0.39374149 -33.568868 
1038.0 0.39388035 -32.660189 
1039.0 0.39401921 -31.669511 
1040.0 0.39415807 -30.480623 
1041.0 0.39429693 -29.124732 
1042.0 0.39443579 -27.74166 
1043.0 0.39457465 -26.357063 
1044.0 0.39471351 -25.025263 
1045.0 0.39485237 -23.74683 
1046.0 0.39499123 -22.397944 
1047.0 0.39513009 -21.180695 
1048.0 0.39526895 -19.994174 
1049.0 0.39540781 -18.950432 
1050.0 0.39554667 -17.91477 
1051.0 0.39568553 -16.97479 
1052.0 0.39582439 -16.137622 
1053.0 0.39596325 -15.397994 
1054.0 0.39610211 -14.746398 
1055.0 0.39624097 -14.169194 
1056.0 0.39637983 -13.654071 
1057.0 0.39651869 -13.186381 
1058.0 0.39665755 -12.75494 
1059.0 0.39679642 -12.253004 
1060.0 0.39693528 -11.870418 
1061.0 0.39707414 -11.517481 
1062.0 0.397213 -11.197234 
1063.0 0.39735186 -10.918444 
1064.0 0.39749072 -10.782072 
1065.0 0.39762958 -10.615809 
1066.0 0.39776844 -10.529564 
1067.0 0.3979073 -10.519677 
1068.0 0.39804616 -10.562904 
1069.0 0.39818502 -10.620974 
1070.0 0.39832388 -10.581666 
1071.0 0.39846274 -10.566699 
1072.0 0.3986016 -10.511555 
1073.0 0.39874046 -10.423321 
1074.0 0.39887932 -10.313126 
1075.0 0.39901818 -10.193106 
1076.0 0.39915704 -10.079623 
1077.0 0.3992959 -9.9966887 
1078.0 0.39943476 -9.9788466 
1079.0 0.39957362 -10.05951 
1080.0 0.39971248 -10.260356 
1081.0 0.39985134 -10.681723 
1082.0 0.3999902 -11.084751 
1083.0 0.40012906 -11.539561 
1084.0 0.40026792 -12.01601 
1085.0 0.40040678 -12.503353 
1086.0 0.40054565 -12.992564 
1087.0 0.40068451 -13.44653 
1088.0 0.40082337 -13.806022 
1089.0 0.40096223 -14.032609 
1090.0 0.40110109 -14.141362 
1091.0 0.40123995 -14.187064 
1092.0 0.40137881 -14.218004 
1093.0 0.40151767 -14.246775 
1094.0 0.40165653 -14.257833 
1095.0 0.40179539 -14.23171 
1096.0 0.40193425 -14.174188 
1097.0 0.40207311 -14.125006 
1098.0 0.40221197 -14.065443 
1099.0 0.40235083 -14.141602 
1100.0 0.40248969 -14.290644 
1101.0 0.40262855 -14.542598 
1102.0 0.40276741 -14.724405 
1103.0 0.40290627 -14.890323 
1104.0 0.40304513 -15.018561 
