Step Strain_x Stress_x
1001.0 0.44462093 -0.81271207 
1002.0 0.44476537 0.9091289 
1003.0 0.44490982 2.6158702 
1004.0 0.44505427 4.2945954 
1005.0 0.44519872 5.9340519 
1006.0 0.44534317 7.5273323 
1007.0 0.44548761 9.0737521 
1008.0 0.44563206 10.578759 
1009.0 0.44577651 12.05162 
1010.0 0.44592096 13.502021 
1011.0 0.4460654 14.937309 
1012.0 0.44620985 16.36138 
1013.0 0.4463543 17.775005 
1014.0 0.44649875 19.176795 
1015.0 0.44664319 20.564128 
1016.0 0.44678764 21.933693 
1017.0 0.44693209 23.281627 
1018.0 0.44707654 24.603387 
1019.0 0.44722098 25.89354 
1020.0 0.44736543 27.145687 
1021.0 0.44750988 28.352657 
1022.0 0.44765433 29.507 
1023.0 0.44779878 30.601679 
1024.0 0.44794322 31.631019 
1025.0 0.44808767 32.589964 
1026.0 0.44823212 33.475987 
1027.0 0.44837657 34.28744 
1028.0 0.44852101 35.023694 
1029.0 0.44866546 35.686152 
1030.0 0.44880991 36.283248 
1031.0 0.44895436 36.843117 
1032.0 0.4490988 37.422974 
1033.0 0.44924325 38.057903 
1034.0 0.4493877 38.659708 
1035.0 0.44953215 39.099042 
1036.0 0.44967659 39.366562 
1037.0 0.44982104 39.524599 
1038.0 0.44996549 39.619292 
1039.0 0.45010994 39.66748 
1040.0 0.45025439 39.671534 
1041.0 0.45039883 39.63012 
1042.0 0.45054328 39.542312 
1043.0 0.45068773 39.40808 
1044.0 0.45083218 39.227018 
1045.0 0.45097662 38.996915 
1046.0 0.45112107 38.713968 
1047.0 0.45126552 38.375113 
1048.0 0.45140997 37.980532 
1049.0 0.45155441 37.534148 
1050.0 0.45169886 37.042125 
1051.0 0.45184331 36.510938 
1052.0 0.45198776 35.946119 
1053.0 0.4521322 35.351867 
1054.0 0.45227665 34.731187 
1055.0 0.4524211 34.086199 
1056.0 0.45256555 33.418427 
1057.0 0.45271 32.728998 
1058.0 0.45285444 32.018819 
1059.0 0.45299889 31.288728 
1060.0 0.45314334 30.539539 
1061.0 0.45328779 29.77186 
1062.0 0.45343223 28.9856 
1063.0 0.45357668 28.179379 
1064.0 0.45372113 27.350159 
1065.0 0.45386558 26.493377 
1066.0 0.45401002 25.603617 
1067.0 0.45415447 24.67555 
1068.0 0.45429892 23.704841 
1069.0 0.45444337 22.688735 
1070.0 0.45458781 21.626205 
1071.0 0.45473226 20.517662 
1072.0 0.45487671 19.364338 
1073.0 0.45502116 18.167566 
1074.0 0.45516561 16.928219 
1075.0 0.45531005 15.646547 
1076.0 0.4554545 14.322575 
1077.0 0.45559895 12.956975 
1078.0 0.4557434 11.552132 
1079.0 0.45588784 10.112993 
1080.0 0.45603229 8.6473566 
1081.0 0.45617674 7.1655395 
1082.0 0.45632119 5.6795898 
1083.0 0.45646563 4.2023311 
1084.0 0.45661008 2.7464859 
1085.0 0.45675453 1.3239733 
1086.0 0.45689898 -0.054656909 
1087.0 0.45704342 -1.3807375 
1088.0 0.45718787 -2.6479568 
1089.0 0.45733232 -3.8526808 
1090.0 0.45747677 -4.9939256 
1091.0 0.45762122 -6.0728549 
1092.0 0.45776566 -7.0919211 
1093.0 0.45791011 -8.0539358 
1094.0 0.45805456 -8.961145 
1095.0 0.45819901 -9.8140744 
1096.0 0.45834345 -10.610077 
1097.0 0.4584879 -11.342158 
1098.0 0.45863235 -11.99907 
1099.0 0.4587768 -12.567163 
1100.0 0.45892124 -13.033326 
1101.0 0.45906569 -13.387646 
1102.0 0.45921014 -13.624908 
1103.0 0.45935459 -13.74487 
1104.0 0.45949903 -13.751677 
1105.0 0.45964348 -13.65277 
1106.0 0.45978793 -13.457582 
1107.0 0.45993238 -13.176336 
1108.0 0.46007683 -12.819209 
1109.0 0.46022127 -12.39591 
1110.0 0.46036572 -11.915833 
1111.0 0.46051017 -11.388445 
1112.0 0.46065462 -10.822445 
1113.0 0.46079906 -10.223336 
1114.0 0.46094351 -9.5912221 
1115.0 0.46108796 -8.9208726 
1116.0 0.46123241 -8.2037259 
1117.0 0.46137685 -7.4302726 
1118.0 0.4615213 -6.5919649 
1119.0 0.46166575 -5.6825873 
1120.0 0.4618102 -4.6992062 
1121.0 0.46195464 -3.642747 
1122.0 0.46209909 -2.5181643 
1123.0 0.46224354 -1.3341647 
1124.0 0.46238799 -0.10250264 
1125.0 0.46253244 1.1630379 
1126.0 0.46267688 2.4477934 
1127.0 0.46282133 3.7373032 
1128.0 0.46296578 5.0181691 
1129.0 0.46311023 6.27862 
1130.0 0.46325467 7.5087916 
1131.0 0.46339912 8.7007868 
1132.0 0.46354357 9.8486055 
1133.0 0.46368802 10.948024 
1134.0 0.46383246 11.996472 
1135.0 0.46397691 12.992932 
1136.0 0.46412136 13.937816 
1137.0 0.46426581 14.832818 
1138.0 0.46441025 15.680704 
1139.0 0.4645547 16.485072 
1140.0 0.46469915 17.250129 
1141.0 0.4648436 17.98051 
1142.0 0.46498805 18.681129 
1143.0 0.46513249 19.357025 
1144.0 0.46527694 20.013166 
1145.0 0.46542139 20.654227 
1146.0 0.46556584 21.284387 
1147.0 0.46571028 21.907144 
1148.0 0.46585473 22.525176 
1149.0 0.46599918 23.140232 
1150.0 0.46614363 23.753032 
1151.0 0.46628807 24.363203 
1152.0 0.46643252 24.969242 
1153.0 0.46657697 25.568551 
1154.0 0.46672142 26.157604 
1155.0 0.46686586 26.732263 
1156.0 0.46701031 27.288234 
1157.0 0.46715476 27.821582 
1158.0 0.46729921 28.329175 
1159.0 0.46744366 28.808956 
1160.0 0.4675881 29.259989 
1161.0 0.46773255 29.682446 
1162.0 0.467877 30.077899 
1163.0 0.46802145 30.450204 
1164.0 0.46816589 30.806116 
1165.0 0.46831034 31.15386 
1166.0 0.46845479 31.499338 
1167.0 0.46859924 31.842752 
1168.0 0.46874368 32.178466 
1169.0 0.46888813 32.497676 
1170.0 0.46903258 32.791531 
1171.0 0.46917703 33.053119 
1172.0 0.46932147 33.278028 
1173.0 0.46946592 33.463916 
1174.0 0.46961037 33.609846 
1175.0 0.46975482 33.715952 
1176.0 0.46989927 33.783388 
1177.0 0.47004371 33.814252 
1178.0 0.47018816 33.811255 
1179.0 0.47033261 33.777193 
1180.0 0.47047706 33.714401 
1181.0 0.4706215 33.62433 
1182.0 0.47076595 33.507343 
1183.0 0.4709104 33.36279 
1184.0 0.47105485 33.189426 
1185.0 0.47119929 32.986229 
1186.0 0.47134374 32.753528 
1187.0 0.47148819 32.493985 
1188.0 0.47163264 32.212464 
1189.0 0.47177708 31.913585 
1190.0 0.47192153 31.597048 
1191.0 0.47206598 31.253857 
1192.0 0.47221043 30.868241 
1193.0 0.47235488 30.4256 
1194.0 0.47249932 29.920308 
1195.0 0.47264377 29.35795 
1196.0 0.47278822 28.752589 
1197.0 0.47293267 28.122341 
1198.0 0.47307711 27.485175 
1199.0 0.47322156 26.855728 
1200.0 0.47336601 26.24361 
1201.0 0.47351046 25.653269 
1202.0 0.4736549 25.08489 
1203.0 0.47379935 24.535687 
1204.0 0.4739438 24.001209 
1205.0 0.47408825 23.476547 
1206.0 0.47423269 22.957388 
1207.0 0.47437714 22.440779 
1208.0 0.47452159 21.925393 
1209.0 0.47466604 21.411194 
1210.0 0.47481049 20.898543 
1211.0 0.47495493 20.387033 
1212.0 0.47509938 19.874492 
1213.0 0.47524383 19.356718 
1214.0 0.47538828 18.828417 
1215.0 0.47553272 18.285495 
1216.0 0.47567717 17.728092 
1217.0 0.47582162 17.162827 
1218.0 0.47596607 16.602589 
1219.0 0.47611051 16.063594 
1220.0 0.47625496 15.561329 
1221.0 0.47639941 15.10772 
1222.0 0.47654386 14.71055 
1223.0 0.4766883 14.374502 
1224.0 0.47683275 14.102553 
1225.0 0.4769772 13.896885 
1226.0 0.47712165 13.759155 
1227.0 0.4772661 13.690345 
1228.0 0.47741054 13.690545 
1229.0 0.47755499 13.758862 
1230.0 0.47769944 13.893557 
1231.0 0.47784389 14.092351 
1232.0 0.47798833 14.352791 
1233.0 0.47813278 14.672436 
1234.0 0.47827723 15.04869 
1235.0 0.47842168 15.478188 
1236.0 0.47856612 15.955869 
1237.0 0.47871057 16.474065 
1238.0 0.47885502 17.021975 
1239.0 0.47899947 17.5859 
1240.0 0.47914391 18.150612 
1241.0 0.47928836 18.701905 
1242.0 0.47943281 19.230514 
1243.0 0.47957726 19.734121 
1244.0 0.47972171 20.217585 
1245.0 0.47986615 20.689174 
1246.0 0.4800106 21.156449 
1247.0 0.48015505 21.625197 
1248.0 0.4802995 22.100754 
1249.0 0.48044394 22.588951 
1250.0 0.48058839 23.095673 
1251.0 0.48073284 23.625707 
1252.0 0.48087729 24.181719 
1253.0 0.48102173 24.763726 
1254.0 0.48116618 25.369039 
1255.0 0.48131063 25.992624 
1256.0 0.48145508 26.627753 
1257.0 0.48159952 27.266883 
1258.0 0.48174397 27.902558 
1259.0 0.48188842 28.528189 
1260.0 0.48203287 29.138558 
1261.0 0.48217732 29.730054 
1262.0 0.48232176 30.30066 
1263.0 0.48246621 30.849804 
1264.0 0.48261066 31.378096 
1265.0 0.48275511 31.887004 
1266.0 0.48289955 32.378479 
1267.0 0.483044 32.85456 
1268.0 0.48318845 33.316994 
1269.0 0.4833329 33.766913 
1270.0 0.48347734 34.204641 
1271.0 0.48362179 34.629731 
1272.0 0.48376624 35.041322 
1273.0 0.48391069 35.438792 
1274.0 0.48405513 35.822471 
1275.0 0.48419958 36.194002 
1276.0 0.48434403 36.556134 
1277.0 0.48448848 36.91185 
1278.0 0.48463293 37.263413 
1279.0 0.48477737 37.611559 
1280.0 0.48492182 37.955044 
1281.0 0.48506627 38.290657 
1282.0 0.48521072 38.613784 
1283.0 0.48535516 38.919434 
1284.0 0.48549961 39.203482 
1285.0 0.48564406 39.463816 
1286.0 0.48578851 39.701112 
1287.0 0.48593295 39.919015 
1288.0 0.4860774 40.123559 
1289.0 0.48622185 40.321765 
1290.0 0.4863663 40.519601 
1291.0 0.48651074 40.71989 
1292.0 0.48665519 40.920988 
1293.0 0.48679964 41.116911 
1294.0 0.48694409 41.298825 
1295.0 0.48708854 41.457126 
1296.0 0.48723298 41.583309 
1297.0 0.48737743 41.671439 
1298.0 0.48752188 41.719556 
1299.0 0.48766633 41.731067 
1300.0 0.48781077 41.71513 
1301.0 0.48795522 41.684528 
1302.0 0.48809967 41.650971 
1303.0 0.48824412 41.620393 
1304.0 0.48838856 41.591375 
1305.0 0.48853301 41.557243 
1306.0 0.48867746 41.50969 
1307.0 0.48882191 41.441507 
1308.0 0.48896635 41.347586 
1309.0 0.4891108 41.224726 
1310.0 0.48925525 41.071141 
1311.0 0.4893997 40.886228 
1312.0 0.48954415 40.670656 
1313.0 0.48968859 40.426582 
1314.0 0.48983304 40.157756 
1315.0 0.48997749 39.869413 
1316.0 0.49012194 39.567914 
1317.0 0.49026638 39.260157 
1318.0 0.49041083 38.952875 
1319.0 0.49055528 38.651958 
1320.0 0.49069973 38.361996 
1321.0 0.49084417 38.086195 
1322.0 0.49098862 37.826734 
1323.0 0.49113307 37.585497 
1324.0 0.49127752 37.364974 
1325.0 0.49142196 37.168812 
1326.0 0.49156641 37.001101 
1327.0 0.49171086 36.863536 
1328.0 0.49185531 36.751141 
1329.0 0.49199976 36.650218 
1330.0 0.4921442 36.542508 
1331.0 0.49228865 36.413733 
1332.0 0.4924331 36.259463 
1333.0 0.49257755 36.084562 
1334.0 0.49272199 35.898947 
1335.0 0.49286644 35.713493 
1336.0 0.49301089 35.537328 
1337.0 0.49315534 35.376139 
1338.0 0.49329978 35.23134 
1339.0 0.49344423 35.100337 
1340.0 0.49358868 34.977703 
1341.0 0.49373313 34.856648 
1342.0 0.49387757 34.730295 
1343.0 0.49402202 34.592689 
1344.0 0.49416647 34.439729 
1345.0 0.49431092 34.270049 
1346.0 0.49445537 34.085641 
1347.0 0.49459981 33.891965 
1348.0 0.49474426 33.69743 
1349.0 0.49488871 33.512274 
1350.0 0.49503316 33.346994 
1351.0 0.4951776 33.210531 
1352.0 0.49532205 33.108615 
1353.0 0.4954665 33.042759 
1354.0 0.49561095 33.010291 
1355.0 0.49575539 33.005387 
1356.0 0.49589984 33.020678 
1357.0 0.49604429 33.048784 
1358.0 0.49618874 33.08341 
1359.0 0.49633318 33.119921 
1360.0 0.49647763 33.155601 
1361.0 0.49662208 33.189764 
1362.0 0.49676653 33.223676 
1363.0 0.49691098 33.260083 
1364.0 0.49705542 33.302278 
1365.0 0.49719987 33.352957 
1366.0 0.49734432 33.413345 
1367.0 0.49748877 33.482947 
1368.0 0.49763321 33.559967 
1369.0 0.49777766 33.642175 
1370.0 0.49792211 33.727917 
1371.0 0.49806656 33.816982 
1372.0 0.498211 33.911096 
1373.0 0.49835545 34.013999 
1374.0 0.4984999 34.131109 
1375.0 0.49864435 34.26885 
1376.0 0.49878879 34.4337 
1377.0 0.49893324 34.631018 
1378.0 0.49907769 34.863819 
1379.0 0.49922214 35.131908 
1380.0 0.49936659 35.431854 
1381.0 0.49951103 35.758026 
1382.0 0.49965548 36.104207 
1383.0 0.49979993 36.464978 
1384.0 0.49994438 36.836318 
1385.0 0.50008882 37.215458 
1386.0 0.50023327 37.600444 
1387.0 0.50037772 37.989755 
1388.0 0.50052217 38.382157 
1389.0 0.50066661 38.776748 
1390.0 0.50081106 39.173083 
1391.0 0.50095551 39.571271 
1392.0 0.50109996 39.971959 
1393.0 0.5012444 40.376225 
1394.0 0.50138885 40.785405 
1395.0 0.5015333 41.200928 
1396.0 0.50167775 41.624195 
1397.0 0.5018222 42.056528 
1398.0 0.50196664 42.499132 
1399.0 0.50211109 42.952995 
1400.0 0.50225554 43.41866 
1401.0 0.50239999 43.895855 
1402.0 0.50254443 44.383129 
1403.0 0.50268888 44.877627 
1404.0 0.50283333 45.375196 
1405.0 0.50297778 45.870822 
1406.0 0.50312222 46.359324 
1407.0 0.50326667 46.836109 
1408.0 0.50341112 47.297833 
1409.0 0.50355557 47.742867 
1410.0 0.50370001 48.171511 
1411.0 0.50384446 48.585904 
1412.0 0.50398891 48.989629 
1413.0 0.50413336 49.387042 
1414.0 0.50427781 49.782465 
1415.0 0.50442225 50.179423 
1416.0 0.5045667 50.580076 
1417.0 0.50471115 50.984938 
1418.0 0.5048556 51.392913 
1419.0 0.50500004 51.80162 
1420.0 0.50514449 52.207968 
1421.0 0.50528894 52.608855 
1422.0 0.50543339 53.001871 
1423.0 0.50557783 53.385804 
1424.0 0.50572228 53.760853 
1425.0 0.50586673 54.128492 
1426.0 0.50601118 54.491056 
1427.0 0.50615562 54.851086 
1428.0 0.50630007 55.210559 
1429.0 0.50644452 55.570098 
1430.0 0.50658897 55.928343 
1431.0 0.50673342 56.281659 
1432.0 0.50687786 56.624351 
1433.0 0.50702231 56.949402 
1434.0 0.50716676 57.249529 
1435.0 0.50731121 57.518196 
1436.0 0.50745565 57.750296 
1437.0 0.5076001 57.942466 
1438.0 0.50774455 58.093194 
1439.0 0.507889 58.202963 
1440.0 0.50803344 58.274455 
1441.0 0.50817789 58.312652 
1442.0 0.50832234 58.324588 
1443.0 0.50846679 58.3186 
1444.0 0.50861123 58.303188 
1445.0 0.50875568 58.285829 
1446.0 0.50890013 58.272079 
1447.0 0.50904458 58.265176 
1448.0 0.50918903 58.266133 
1449.0 0.50933347 58.274179 
1450.0 0.50947792 58.287343 
1451.0 0.50962237 58.303019 
1452.0 0.50976682 58.31844 
1453.0 0.50991126 58.331068 
1454.0 0.51005571 58.338918 
1455.0 0.51020016 58.340829 
1456.0 0.51034461 58.336607 
1457.0 0.51048905 58.326974 
1458.0 0.5106335 58.31326 
1459.0 0.51077795 58.296911 
1460.0 0.5109224 58.278935 
1461.0 0.51106684 58.259483 
1462.0 0.51121129 58.237734 
1463.0 0.51135574 58.212165 
1464.0 0.51150019 58.18116 
1465.0 0.51164464 58.143811 
1466.0 0.51178908 58.100602 
1467.0 0.51193353 58.053947 
1468.0 0.51207798 58.007854 
1469.0 0.51222243 57.967428 
1470.0 0.51236687 57.937884 
1471.0 0.51251132 57.9235 
1472.0 0.51265577 57.926673 
1473.0 0.51280022 57.947166 
1474.0 0.51294466 57.981673 
1475.0 0.51308911 58.023802 
1476.0 0.51323356 58.064618 
1477.0 0.51337801 58.093758 
1478.0 0.51352245 58.101005 
1479.0 0.5136669 58.077978 
1480.0 0.51381135 58.019467 
1481.0 0.5139558 57.923994 
1482.0 0.51410025 57.793496 
1483.0 0.51424469 57.632398 
1484.0 0.51438914 57.446373 
1485.0 0.51453359 57.240957 
1486.0 0.51467804 57.020061 
1487.0 0.51482248 56.784732 
1488.0 0.51496693 56.532931 
1489.0 0.51511138 56.260804 
1490.0 0.51525583 55.964799 
1491.0 0.51540027 55.643134 
1492.0 0.51554472 55.295782 
1493.0 0.51568917 54.923583 
1494.0 0.51583362 54.527541 
1495.0 0.51597807 54.108756 
1496.0 0.51612251 53.668757 
1497.0 0.51626696 53.209842 
1498.0 0.51641141 52.735242 
1499.0 0.51655586 52.24907 
1500.0 0.5167003 51.756602 
1501.0 0.51684475 51.263799 
1502.0 0.5169892 50.777388 
1503.0 0.51713365 50.304403 
1504.0 0.51727809 49.8516 
1505.0 0.51742254 49.424821 
1506.0 0.51756699 49.028506 
1507.0 0.51771144 48.665447 
1508.0 0.51785588 48.336814 
1509.0 0.51800033 48.042367 
1510.0 0.51814478 47.780807 
1511.0 0.51828923 47.550133 
1512.0 0.51843368 47.348089 
1513.0 0.51857812 47.172205 
1514.0 0.51872257 47.019989 
1515.0 0.51886702 46.888954 
1516.0 0.51901147 46.776705 
1517.0 0.51915591 46.68113 
1518.0 0.51930036 46.600676 
1519.0 0.51944481 46.534611 
1520.0 0.51958926 46.483268 
1521.0 0.5197337 46.448055 
1522.0 0.51987815 46.431262 
1523.0 0.5200226 46.435786 
1524.0 0.52016705 46.464695 
1525.0 0.52031149 46.521069 
1526.0 0.52045594 46.607747 
1527.0 0.52060039 46.727328 
1528.0 0.52074484 46.88224 
1529.0 0.52088929 47.074815 
1530.0 0.52103373 47.307324 
1531.0 0.52117818 47.581934 
1532.0 0.52132263 47.90059 
1533.0 0.52146708 48.264822 
1534.0 0.52161152 48.67549 
1535.0 0.52175597 49.13242 
1536.0 0.52190042 49.63414 
1537.0 0.52204487 50.177395 
1538.0 0.52218931 50.756835 
1539.0 0.52233376 51.364903 
1540.0 0.52247821 51.99222 
1541.0 0.52262266 52.628649 
1542.0 0.5227671 53.264861 
1543.0 0.52291155 53.893746 
1544.0 0.523056 54.510861 
1545.0 0.52320045 55.113683 
1546.0 0.5233449 55.70031 
1547.0 0.52348934 56.268575 
1548.0 0.52363379 56.816052 
1549.0 0.52377824 57.34072 
1550.0 0.52392269 57.841788 
1551.0 0.52406713 58.32029 
1552.0 0.52421158 58.779321 
1553.0 0.52435603 59.223914 
1554.0 0.52450048 59.660585 
1555.0 0.52464492 60.096613 
1556.0 0.52478937 60.539184 
1557.0 0.52493382 60.994588 
1558.0 0.52507827 61.467672 
1559.0 0.52522271 61.961677 
1560.0 0.52536716 62.478493 
1561.0 0.52551161 63.019195 
1562.0 0.52565606 63.584553 
1563.0 0.52580051 64.175154 
1564.0 0.52594495 64.790883 
1565.0 0.5260894 65.429882 
1566.0 0.52623385 66.08748 
1567.0 0.5263783 66.755659 
1568.0 0.52652274 67.423383 
1569.0 0.52666719 68.077715 
1570.0 0.52681164 68.705366 
1571.0 0.52695609 69.294292 
1572.0 0.52710053 69.834989 
1573.0 0.52724498 70.321272 
1574.0 0.52738943 70.750488 
1575.0 0.52753388 71.123229 
1576.0 0.52767832 71.442661 
1577.0 0.52782277 71.713586 
1578.0 0.52796722 71.941395 
1579.0 0.52811167 72.131175 
1580.0 0.52825612 72.287197 
1581.0 0.52840056 72.412855 
1582.0 0.52854501 72.510969 
1583.0 0.52868946 72.584274 
1584.0 0.52883391 72.635912 
1585.0 0.52897835 72.66984 
1586.0 0.5291228 72.691061 
1587.0 0.52926725 72.705676 
1588.0 0.5294117 72.720713 
1589.0 0.52955614 72.743749 
1590.0 0.52970059 72.782355 
1591.0 0.52984504 72.84335 
1592.0 0.52998949 72.932474 
1593.0 0.53013393 73.053389 
1594.0 0.53027838 73.207652 
1595.0 0.53042283 73.39459 
