Step Strain_x Stress_x Strain_y Stress_y
1000.0 0.44031501 6.5527711 0.44324139 7.0532616 
1001.0 0.44045904 7.5058173 0.44319704 8.1043465 
1002.0 0.44060308 7.5210819 0.44305077 8.1098981 
1003.0 0.44074711 6.6168354 0.44280255 7.0284209 
1004.0 0.44089114 3.8305055 0.44246603 4.2443516 
1005.0 0.44103517 3.0807669 0.44207627 3.4336453 
1006.0 0.4411792 -1.786238 0.44164352 -1.6597169 
1007.0 0.44132323 -3.5184226 0.44123177 -3.7007821 
1008.0 0.44146726 -4.9453126 0.44086663 -5.3262534 
1009.0 0.4416113 -7.6603535 0.44056843 -8.1561725 
1010.0 0.44175533 -8.6809597 0.44037261 -9.2081617 
1011.0 0.44189936 -8.941814 0.4402923 -9.2811258 
1012.0 0.44204339 -6.1675339 0.44032839 -6.3226779 
1013.0 0.44218742 -2.662589 0.44044376 -2.7623835 
1014.0 0.44233145 -0.9213242 0.4405938 -1.0941984 
1015.0 0.44247549 1.0037577 0.44075757 0.77845185 
1016.0 0.44261952 0.82052486 0.44091157 0.55640402 
1017.0 0.44276355 1.4580694 0.44105859 1.0509763 
1018.0 0.44290758 2.6951475 0.44119241 2.1466428 
1019.0 0.44305161 2.15791 0.44129927 1.5117069 
1020.0 0.44319564 0.48998554 0.44138712 -0.2526175 
1021.0 0.44333967 -3.34019 0.44147815 -4.257275 
1022.0 0.44348371 -3.354626 0.44162271 -4.3558436 
1023.0 0.44362774 -2.2943837 0.44182205 -3.272962 
1024.0 0.44377177 0.59706601 0.44206259 -0.18723111 
1025.0 0.4439158 2.39419 0.44230549 1.8214435 
1026.0 0.44405983 4.9388612 0.44252547 4.5153766 
1027.0 0.44420386 4.7228506 0.44268858 4.3550749 
1028.0 0.44434789 3.6200307 0.44279681 3.2371971 
1029.0 0.44449193 2.9503313 0.44286423 2.5214796 
1030.0 0.44463596 1.0859542 0.44289987 0.64380833 
1031.0 0.44477999 0.28598343 0.4429274 -0.10595024 
1032.0 0.44492402 0.72456169 0.44295626 0.37545941 
1033.0 0.44506805 1.4655938 0.4429804 1.0048179 
1034.0 0.44521208 3.6411117 0.44299186 2.9456404 
1035.0 0.44535612 5.8805833 0.44296617 4.9141744 
1036.0 0.44550015 5.7004706 0.44287851 4.5052812 
1037.0 0.44564418 4.5425239 0.44273403 3.1516555 
1038.0 0.44578821 1.662289 0.44254985 0.12878559 
1039.0 0.44593224 -0.23465999 0.4423641 -1.8277246 
1040.0 0.44607627 -0.31989964 0.44220145 -1.9833124 
1041.0 0.4462203 -0.441626 0.44206385 -2.1030531 
1042.0 0.44636434 0.97996268 0.4419528 -0.71804631 
1043.0 0.44650837 2.1810065 0.44185083 0.40093993 
1044.0 0.4466524 2.847564 0.44174383 0.98858422 
1045.0 0.44679643 3.4138523 0.44162441 1.5242367 
1046.0 0.44694046 4.2482086 0.4414858 2.3789037 
1047.0 0.44708449 4.1268819 0.44131726 2.2766846 
1048.0 0.44722852 4.4031412 0.44112008 2.4510975 
1049.0 0.44737256 3.0152568 0.44089208 0.84554447 
1050.0 0.44751659 0.56266371 0.4406535 -1.8488397 
1051.0 0.44766062 0.39120651 0.44043829 -2.2360291 
1052.0 0.44780465 -0.10574444 0.44025129 -2.9850658 
1053.0 0.44794868 -0.0091019328 0.44010193 -3.1356366 
1054.0 0.44809271 0.72688803 0.43999208 -2.5269021 
1055.0 0.44823675 3.9528013 0.43991407 0.6315625 
1056.0 0.44838078 6.7984593 0.43982814 3.4048444 
1057.0 0.44852481 8.8520621 0.43969937 5.3307374 
1058.0 0.44866884 8.4119643 0.43950356 4.7457586 
1059.0 0.44881287 6.9541839 0.4392481 3.1131487 
1060.0 0.4489569 5.4049986 0.43895358 1.337693 
1061.0 0.44910093 3.3796734 0.43864235 -0.78487882 
1062.0 0.44924497 1.26046 0.43834112 -2.8118621 
1063.0 0.449389 0.38029446 0.43807535 -3.6280247 
1064.0 0.44953303 1.2495237 0.43785526 -2.83516 
1065.0 0.44967706 3.0110751 0.43767088 -1.2493762 
1066.0 0.44982109 5.9676467 0.43750225 1.5301571 
1067.0 0.44996512 8.2401138 0.43731447 3.621925 
1068.0 0.45010915 8.6016291 0.43708129 3.7420663 
1069.0 0.45025319 8.6351466 0.43680125 3.5250355 
1070.0 0.45039722 7.0284331 0.4364771 1.6330739 
1071.0 0.45054125 3.2938913 0.43613263 -2.4093621 
1072.0 0.45068528 1.7694863 0.43581855 -4.172149 
1073.0 0.45082931 4.5106584 0.43555693 -1.6584171 
1074.0 0.45097334 7.0983854 0.43531621 0.76810343 
1075.0 0.45111738 8.7570513 0.435066 2.3348427 
1076.0 0.45126141 9.683855 0.43478667 3.107693 
1077.0 0.45140544 9.0049626 0.43446858 2.323308 
1078.0 0.45154947 7.0457163 0.43412161 0.38204173 
1079.0 0.4516935 4.4589308 0.43377006 -2.1837323 
1080.0 0.45183753 4.2289277 0.43344605 -2.4947795 
1081.0 0.45198156 5.7883682 0.43315344 -1.1265394 
1082.0 0.4521256 6.217022 0.43287508 -0.8884547 
1083.0 0.45226963 4.8519605 0.432608 -2.3623916 
1084.0 0.45241366 4.5576625 0.4323706 -2.7660868 
1085.0 0.45255769 4.8982428 0.43216789 -2.5871169 
1086.0 0.45270172 4.2376324 0.4319976 -3.4677007 
1087.0 0.45284575 4.7947557 0.43187071 -3.1999033 
1088.0 0.45298978 4.6644135 0.43178383 -3.5593801 
1089.0 0.45313382 5.6636491 0.43174144 -2.613989 
1090.0 0.45327785 6.5498205 0.43173172 -1.7193802 
1091.0 0.45342188 7.7673188 0.43174347 -0.57000442 
1092.0 0.45356591 9.2939576 0.43176234 0.81965152 
1093.0 0.45370994 11.111897 0.43177097 2.4813193 
1094.0 0.45385397 14.067755 0.43174862 5.3834794 
1095.0 0.45399801 15.227008 0.43165904 6.4763159 
1096.0 0.45414204 13.496746 0.43148862 4.7081084 
1097.0 0.45428607 10.184961 0.43125951 1.3928375 
1098.0 0.4544301 7.8623659 0.43101315 -0.98052324 
1099.0 0.45457413 4.9223619 0.43077918 -4.0600307 
1100.0 0.45471816 2.7027324 0.43059602 -6.3836555 
1101.0 0.45486219 1.3293108 0.43049262 -7.7813796 
1102.0 0.45500623 1.7757841 0.43048637 -7.2277295 
1103.0 0.45515026 7.0383616 0.43057033 -1.9564821 
1104.0 0.45529429 12.862636 0.43067868 3.8133697 
1105.0 0.45543832 15.872457 0.4307394 6.7786337 
1106.0 0.45558235 17.032528 0.43071545 7.8643 
1107.0 0.45572638 17.365267 0.43059331 8.0848391 
1108.0 0.45587041 15.276284 0.43037031 5.6857297 
1109.0 0.45601445 13.678282 0.43007646 3.6594389 
1110.0 0.45615848 9.6845361 0.42973716 -0.61093165 
1111.0 0.45630251 4.9213145 0.42940571 -5.5486846 
1112.0 0.45644654 2.6066185 0.42914369 -8.0832061 
1113.0 0.45659057 2.4273181 0.42898261 -8.3770423 
1114.0 0.4567346 4.4384307 0.42892605 -6.3436643 
1115.0 0.45687864 6.4284146 0.42894861 -4.099413 
1116.0 0.45702267 7.9854975 0.42902228 -2.2579248 
1117.0 0.4571667 12.254249 0.42912409 2.1561917 
1118.0 0.45731073 15.551355 0.42919896 5.5714973 
1119.0 0.45745476 16.146972 0.42920431 6.0999817 
1120.0 0.45759879 16.374584 0.42913355 6.1240334 
1121.0 0.45774282 17.074449 0.42898642 6.6058034 
1122.0 0.45788686 14.83584 0.42875699 4.2611511 
1123.0 0.45803089 11.439635 0.42847457 0.63714985 
1124.0 0.45817492 7.3278626 0.42818441 -3.9009688 
1125.0 0.45831895 2.5598226 0.42794307 -9.0333684 
1126.0 0.45846298 0.70857757 0.42781447 -11.060651 
1127.0 0.45860701 0.84879508 0.42782377 -10.875846 
1128.0 0.45875104 3.3649938 0.42796863 -8.2668722 
1129.0 0.45889508 9.5964274 0.42821652 -1.9470851 
1130.0 0.45903911 15.071643 0.42848863 3.6652273 
1131.0 0.45918314 17.570337 0.42871491 6.3389806 
1132.0 0.45932717 19.006563 0.42886198 7.8177481 
1133.0 0.4594712 18.222747 0.42891137 7.0266343 
1134.0 0.45961523 16.662869 0.42887298 5.4453688 
1135.0 0.45975927 14.916409 0.42876662 3.6177513 
