Step Strain_x Stress_x
10001.0 0.0043065803 -1.1087649 
10002.0 0.0043166233 -1.1178184 
10003.0 0.0043266663 -1.1285431 
10004.0 0.0043367092 -1.1407118 
10005.0 0.0043467522 -1.1541165 
10006.0 0.0043567952 -1.1683283 
10007.0 0.0043668381 -1.1830732 
10008.0 0.0043768811 -1.1980466 
10009.0 0.004386924 -1.212949 
10010.0 0.004396967 -1.2274572 
10011.0 0.00440701 -1.2412025 
10012.0 0.0044170529 -1.2538467 
10013.0 0.0044270959 -1.2651228 
10014.0 0.0044371389 -1.2747174 
10015.0 0.0044471818 -1.2823055 
10016.0 0.0044572248 -1.2875884 
10017.0 0.0044672678 -1.2904583 
10018.0 0.0044773107 -1.2906418 
10019.0 0.0044873537 -1.2879534 
10020.0 0.0044973967 -1.2822739 
10021.0 0.0045074396 -1.2736359 
10022.0 0.0045174826 -1.2619562 
10023.0 0.0045275256 -1.2473607 
10024.0 0.0045375685 -1.2299804 
10025.0 0.0045476115 -1.2100049 
10026.0 0.0045576545 -1.187741 
10027.0 0.0045676974 -1.1633579 
10028.0 0.0045777404 -1.1372687 
10029.0 0.0045877834 -1.1098753 
10030.0 0.0045978263 -1.0815264 
10031.0 0.0046078693 -1.0526023 
10032.0 0.0046179123 -1.023472 
10033.0 0.0046279552 -0.99441876 
10034.0 0.0046379982 -0.96560284 
10035.0 0.0046480411 -0.93748768 
10036.0 0.0046580841 -0.91043527 
10037.0 0.0046681271 -0.88475463 
10038.0 0.00467817 -0.86039152 
10039.0 0.004688213 -0.83755373 
10040.0 0.004698256 -0.81656585 
10041.0 0.0047082989 -0.7976695 
10042.0 0.0047183419 -0.78095147 
10043.0 0.0047283849 -0.76655011 
10044.0 0.0047384278 -0.75457221 
10045.0 0.0047484708 -0.74473345 
10046.0 0.0047585138 -0.73729976 
10047.0 0.0047685567 -0.7323184 
10048.0 0.0047785997 -0.72983953 
10049.0 0.0047886427 -0.72984643 
10050.0 0.0047986856 -0.73245306 
10051.0 0.0048087286 -0.73762895 
10052.0 0.0048187716 -0.74537149 
10053.0 0.0048288145 -0.75559851 
